,Word,Count
335,SEDUCE,1
336,FIFTEEN-YEAR-OLD,1
337,RUIN,1
338,"PARTNER,",1
339,JONES-THIS,1
340,GANGLING,1
341,MALARIA-RIDDEN,1
342,WHOM,1
343,GIVEN,1
344,PERMISSION,1
345,FOURTEEN,1
346,AGO,1
347,SQUAT,1
348,YEAR-OLD,1
349,"GRANDCHILD-JONES,",1
350,PARTNER,1
351,PORTER,1
352,CLERK,1
353,COMMAND,1
354,REMOVED,1
355,MAYBE,1
356,DELIVERED,1
357,TOO),1
358,"RIBBONS,",1
359,MEASURED,1
360,VERY,1
361,CLOTH,1
362,(WHO,1
363,BEREAVED,1
364,MOURN),1
365,HELPED,1
366,FASHION,1
367,WALK,1
368,PAST,1
369,LOUNGING,1
370,MEN,1
371,"IN,",1
372,SIDE-LOOKING,1
373,"TONGUES,",1
374,UNTIL,1
375,INCREASING,1
376,BELLY,1
377,TAUGHT,1
378,EMBARRASSMENT-OR,1
379,FEAR;-JONES,1
380,’61,1
381,ALLOWED,1
382,APPROACH,1
383,GOT,1
384,NEARER,1
385,BROUGHT,1
386,GAME,1
387,FISH,1
388,VEGETABLES,1
389,SEDUCER-TO-BE’S,1
390,WIFE,1
391,CLYTIE,1
392,"TOO,",1
393,REMAINING,1
394,"SERVANT,",1
395,"NEGRO,",1
396,FORBID,1
397,PASS,1
398,BROUGHT),1
399,DEPENDED,1
400,KEEP,1
401,LIFE,1
402,ENTERED,1
403,ITSELF,1
404,(QUITE,1
405,FREQUENT,1
406,NOW),1
407,SUDDENLY,1
408,CURSE,1
409,EMPTY,1
410,CUSTOMERS,1
411,LOCK,1
412,REPAIR,1
413,REAR,1
414,SAME,1
415,TONE,1
416,USED,1
417,ADDRESS,1
418,ORDERLY,1
419,SERVANTS,1
420,DOUBTLESS,1
421,ORDERED,1
422,CANDY),1
423,DIRECT,1
424,"JUG,",1
425,"DAYS,",1
426,SUNDAY,1
427,MONOTONOUS,1
428,PEACE,1
429,SPENT,1
430,SCUPPERNONG,1
431,ARBOR,1
432,"YARD,",1
433,HAMMOCK,1
434,SQUATTED,1
435,"POST,",1
436,RISING,1
437,POUR,1
438,DEMIJOHN,1
439,BUCKET,1
440,WATER,1
441,FETCHED,1
442,MILE,1
443,SQUATTING,1
444,"AGAIN,",1
445,CHORTLING,1
446,CHUCKLING,1
447,SAYING,1
448,"`SHO,",1
449,MISTER,1
450,TAWM’,1
451,EACH,1
452,PAUSED)-THE,1
453,DRINKING,1
454,JUG,1
455,NOR,1
456,REACHING,1
457,THIRD,1
458,SECOND,1
459,DRINK,1
460,MAN’S,1
461,STATE,1
462,UNDEFEAT,1
463,"RISE,",1
464,SWAYING,1
465,PLUNGING,1
466,SHOUTING,1
467,HORSE,1
468,PISTOLS,1
469,RIDE,1
470,SINGLE-HANDED,1
471,WASHINGTON,1
472,LINCOLN,1
473,(A,1
474,SO,1
475,TOO,1
476,LATE,1
477,HERE),1
478,SHERMAN,1
479,"BOTH,",1
480,"SHOUTING,",1
481,‘KILL,1
482,THEM!,1
483,DOGS,1
484,ARE!’,1
485,JONES:,1
486,"‘SHO,",1
487,KERNEL;,1
488,SHO,1
489,NOW’,1
490,CATCHING,1
491,FELL,1
492,COMMANDEERING,1
493,PASSING,1
494,WAGON,1
495,TAKE,1
496,THROUGH,1
497,PAINTLESS,1
498,FORMAL,1
499,FANLIGHT,1
500,IMPORTED,1
501,EUROPE,1
502,HELD,1
503,OPEN,1
504,ENTER,1
505,"CHANGE,",1
506,ALTERATION,1
507,FROZEN,1
508,WORN,1
509,"NOW,",1
510,STAIRS,1
511,BEDROOM,1
512,PUT,1
513,BABY,1
514,FLOOR,1
515,BESIDE,1
516,SLEEP,1
517,DAWN,1
518,STIR,1
519,GROAN,1
520,‘FLYER,1
521,"AM,",1
522,KERNEL.,1
523,HIT’S,1
524,ALL,1
525,RIGHT.,1
526,RODE,1
527,REGIMENT,1
528,EIGHT,1
529,TELL,1
530,‘WAS,1
531,LOOKIN,1
532,MAJOR’S,1
533,PLACE,1
534,NIGGERS’,1
535,ASK,1
536,WHY,1
537,TROOPS,1
538,BELIEVE,1
539,"HIMSELF,",1
540,GREET,1
541,"RETURNED,",1
542,MEET,1
543,GATE,1
544,"‘WELL,",1
545,"KERNEL,",1
546,KILT,1
547,"WORKED,",1
548,"LABORED,",1
549,SWEAT,1
550,BEHEST,1
551,PERIOD,1
552,BELIEVED,1
553,RESTORE,1
554,SHEER,1
555,INDOMITABLE,1
556,WILLING,1
557,SUTPEN’S,1
558,HUNDRED,1
559,REMEMBERED,1
560,"LOST,",1
561,LABORED,1
562,HOPE,1
563,PAY,1
564,REWARD,1
565,LONG,1
566,(OR,1
567,ADMIT,1
568,IT),1
569,TASK,1
570,HOPELESS-BLIND,1
571,APPARENTLY,1
572,LECHEROUS,1
573,WRECK,1
574,FINE,1
575,FIGURE,1
576,ONCE,1
577,BLACK,1
578,THOROUGHBRED,1
579,DOMAIN,1
580,BOUNDARIES,1
581,EYE,1
582,SEE,1
583,POINT.,1
